regime_def,stratum,ident_mean,ctrl_mean,mean_diff,boot_lo,boot_hi,MWU_p,n_ident,n_ctrl
base,mag_4-100,0.3271801232728828,0.441051480505932,-0.1138713572330492,-0.22108941744098146,-0.0018685890992618565,0.04767520324833793,15,34
base,mag_101-500,0.37393766646222387,0.4829415775993931,-0.10900391113716923,-0.1591679595317309,-0.061045660332717654,2.2504267861168342e-05,38,162
base,mag_101-500_mod6_2,0.39990517457534874,0.5054088429617966,-0.10550366838644781,-0.18183442197112487,-0.032616661051124284,0.0031468282276541086,19,48
base,mag_101-500_mod6_4,0.347970158349099,0.5143604020573224,-0.16639024370822336,-0.23595132816115647,-0.10044451504447552,1.3642490744524052e-05,19,47
base,mag_501-1000,0.4092317383536314,0.45997716597944627,-0.050745427625814854,-0.09776459230926976,-0.007301533839095048,0.01766288081999913,42,208
base,mag_501-1000_mod6_2,0.42007102038646904,0.449358953544873,-0.029287933158403945,-0.09398791705686475,0.03297521175575694,0.2995722719802112,20,63
base,mag_501-1000_mod6_4,0.3993778455965062,0.465787724691674,-0.06640987909516782,-0.13635896637398806,0.0009149357936347074,0.07238248637906373,22,62
base,mag_1001-2500,0.4092982437836057,0.4519935394502177,-0.04269529566661201,-0.06884689795862589,-0.016575472196863193,0.0005295750914000283,109,641
base,mag_1001-2500_mod6_2,0.42584119211241966,0.4535351725164982,-0.027693980404078555,-0.06502303473361518,0.010389375289883335,0.06309227911781426,54,196
base,mag_1001-2500_mod6_4,0.3930560763334973,0.45386089001415725,-0.06080481368065993,-0.10190463361932621,-0.02054316454246618,0.0025057061058334925,55,195
base,mag_1001-2500_mod12_2,0.42584119211241966,0.39184555272709715,0.03399563938532252,-0.011861099225611377,0.07796339618373892,0.22203592392033478,54,71
base,mag_1001-2500_mod12_10,0.3930560763334973,0.405091917389711,-0.012035841056213692,-0.05836889990786764,0.03534483694939028,0.5757688673966677,55,70
base,mag_2501-5000,0.41829670746358677,0.4582797609568274,-0.039983053493240606,-0.060447767142094856,-0.02078168136070835,4.266950530746868e-06,163,1087
base,mag_2501-5000_mod6_2,0.42036013618807333,0.45962218548890876,-0.03926204930083543,-0.06821952803755332,-0.009620064266051047,0.0008582868880065253,79,338
base,mag_2501-5000_mod6_4,0.41635610187746264,0.4650573906571771,-0.04870128877971447,-0.07811136386101751,-0.019654670978376174,0.00034029106481480706,84,332
base,mag_2501-5000_mod12_2,0.42036013618807333,0.4067770295834721,0.013583106604601214,-0.02141789388716827,0.04972474700278292,0.9432295375793598,79,129
base,mag_2501-5000_mod12_10,0.41635610187746264,0.4363731857042209,-0.020017083826758264,-0.05313444614799155,0.013298580618758396,0.1422471084677217,84,124
base,mag_5001-10000,0.42445740335090276,0.46966126712252654,-0.045203863771623776,-0.06201258579472117,-0.02847742102283973,1.0055633562778436e-09,302,2198
base,mag_5001-10000_mod6_2,0.4062739903192993,0.4796642601364307,-0.07339026981713143,-0.09985162239009582,-0.04782186562056473,2.206280835249953e-09,152,681
base,mag_5001-10000_mod6_4,0.44288326188959426,0.4704820019100152,-0.027598740020420953,-0.05182267274043094,-0.005081005983024323,0.0007562785012070968,150,684
base,mag_5001-10000_mod12_2,0.4062739903192993,0.4470637231528116,-0.04078973283351234,-0.06768620638506834,-0.013234005057336165,0.018437730828140583,152,265
base,mag_5001-10000_mod12_10,0.44288326188959426,0.43068329748791384,0.012199964401680419,-0.014197603865851947,0.038148393127702365,0.44177903484395875,150,267
base,mag_5001-10000_mod30_2,0.39428308070840234,0.47809220286406084,-0.0838091221556585,-0.14053158647769265,-0.030796458002254636,0.0032290186339620007,37,130
base,mag_5001-10000_mod30_4,0.4552115955209097,0.47212137668688975,-0.016909781165980076,-0.060581875502559036,0.029308339232864956,0.17283701610138746,36,131
base,mag_5001-10000_mod30_8,0.3752473606818419,0.4840670906896027,-0.1088197300077608,-0.16108065708831013,-0.05649976649904888,4.4726299783549566e-05,36,131
base,mag_5001-10000_mod30_14,0.4253750682408095,0.483333526544382,-0.05795845830357249,-0.10878406761231837,-0.009934939187821505,0.004731671857842984,39,127
base,mag_5001-10000_mod30_16,0.4061600738276841,0.47558238964508415,-0.06942231581740005,-0.11845523710865045,-0.017804706723727578,0.0023806665765834156,37,129
base,mag_5001-10000_mod30_22,0.4847630031604835,0.4626866050057797,0.022076398154703802,-0.02082138305246318,0.06302787262813092,0.8525177686831377,37,130
base,mag_5001-10000_mod30_26,0.426665997409618,0.49168078241297564,-0.06501478500335761,-0.11482064293745582,-0.016176191487371407,0.005938171581891283,40,127
base,mag_5001-10000_mod30_28,0.42701794990310493,0.4803542686257878,-0.05333631872268285,-0.10275009380701035,-0.004477880786915546,0.0252461865387781,40,127
base,mag_10001-20000,0.4397373539643696,0.486569003730727,-0.0468316497663574,-0.05925458146813878,-0.035352681622700007,5.227556381886356e-26,560,4440
base,mag_10001-20000_mod6_2,0.4421225104646483,0.4911527850166513,-0.04903027455200304,-0.06703722520530629,-0.032002390220491166,1.3071878745775516e-14,281,1386
base,mag_10001-20000_mod6_4,0.4373350995680315,0.4903672533237456,-0.05303215375571407,-0.07023115756871445,-0.03501556132108571,1.8250678834855613e-15,279,1387
base,mag_10001-20000_mod12_2,0.4421225104646483,0.441148865664201,0.0009736448004473153,-0.01708419002104528,0.01894239161921745,0.6823974916195767,281,552
base,mag_10001-20000_mod12_10,0.4373350995680315,0.43979236448233877,-0.0024572649143072556,-0.022137518268337236,0.017358712296228724,0.8279036438969859,279,554
base,mag_10001-20000_mod30_2,0.43090438962250993,0.4815676752277876,-0.050663285605277664,-0.08714214944299165,-0.013933899759872657,0.0003671101217444766,72,261
base,mag_10001-20000_mod30_4,0.4263359297632749,0.479046246914022,-0.05271031715074709,-0.09113383187566554,-0.016600428133932234,0.00013111485798655032,68,265
base,mag_10001-20000_mod30_8,0.4576956605892417,0.4958725972064448,-0.03817693661720306,-0.07245753674422105,-0.006742456109194079,0.00024476414593016906,71,262
base,mag_10001-20000_mod30_14,0.45219992034939466,0.4918387324919298,-0.03963881214253512,-0.07244503151501341,-0.007475702482074942,0.00030975397828116475,71,263
base,mag_10001-20000_mod30_16,0.4632623230811264,0.4906916110835697,-0.027429288002443264,-0.06218007938189674,0.006585307596551404,0.0069147915038006635,71,263
base,mag_10001-20000_mod30_22,0.4163137649029385,0.5001605421953871,-0.0838467772924486,-0.12309836284049314,-0.047006824052178334,1.4633190025601105e-07,71,262
base,mag_10001-20000_mod30_26,0.42699586777764575,0.4985354631564168,-0.07153959537877103,-0.11052696526322717,-0.0339831778967571,4.442762153238596e-06,67,266
base,mag_10001-20000_mod30_28,0.4431267725899927,0.49605563942315734,-0.05292886683316461,-0.09009572117996995,-0.016292303100028358,3.362335524294199e-05,69,264
altA,mag_4-100,0.36224990234903337,0.4391677276137151,-0.07691782526468172,-0.18392922837426454,0.03228020585610097,0.0866662154938943,15,34
altA,mag_101-500,0.37853305545998434,0.4867592960049158,-0.10822624054493146,-0.1597473850533078,-0.05467202240700766,4.5840827802278075e-05,38,162
altA,mag_101-500_mod6_2,0.38337520212760307,0.5127371065147026,-0.12936190438709955,-0.20769079899708345,-0.051662953684989764,0.0010426003909855069,19,48
altA,mag_101-500_mod6_4,0.37369090879236555,0.5166427508048633,-0.14295184201249778,-0.21774419823997385,-0.07340557157431446,0.000696578248400099,19,47
altA,mag_501-1000,0.40561594318490013,0.4628730645197701,-0.05725712133486999,-0.10559241158148984,-0.01008060131090931,0.011618258796295397,42,208
altA,mag_501-1000_mod6_2,0.43426055985959866,0.4549368023623627,-0.020676242502764064,-0.08656481004009564,0.04408569064222943,0.3776312923878299,20,63
altA,mag_501-1000_mod6_4,0.37957538257153767,0.4676573510152768,-0.08808196844373911,-0.16460668230036232,-0.011911237954085416,0.025548091260324104,22,62
altA,mag_1001-2500,0.4076902906631575,0.4502433735961992,-0.04255308293304172,-0.07235598938068673,-0.013427518978847634,0.0010421948314475913,109,641
altA,mag_1001-2500_mod6_2,0.42515737428409106,0.45093572368658413,-0.025778349402493073,-0.06994293259378034,0.018092984731853858,0.10581769309924262,54,196
altA,mag_1001-2500_mod6_4,0.3905407903807863,0.4556571348457624,-0.0651163444649761,-0.1106168991594572,-0.021945694755237576,0.001768755056364715,55,195
altA,mag_1001-2500_mod12_2,0.42515737428409106,0.3820582486530549,0.043099125631036184,-0.010434447304450289,0.09464299771935675,0.12052632483035568,54,71
altA,mag_1001-2500_mod12_10,0.3905407903807863,0.4074046936916751,-0.016863903310888773,-0.06796911976504322,0.033231654343915444,0.478461269578657,55,70
altA,mag_2501-5000,0.4223132061438863,0.46158891156304577,-0.03927570541915948,-0.0646452467185019,-0.015055213318452889,0.0005114023447600951,163,1087
altA,mag_2501-5000_mod6_2,0.41548484505887334,0.4647681576332349,-0.04928331257436158,-0.08829770915801369,-0.011060341200956482,0.007530000120693124,79,338
altA,mag_2501-5000_mod6_4,0.4287351171643152,0.46901103687291634,-0.040275919708601116,-0.07498215778929179,-0.007014558180429932,0.006987237508884898,84,332
altA,mag_2501-5000_mod12_2,0.41548484505887334,0.4138001876696775,0.0016846573891958205,-0.04079881155634073,0.04516597414761015,0.9385090330520717,79,129
altA,mag_2501-5000_mod12_10,0.4287351171643152,0.4370707266994717,-0.008335609535156496,-0.04843777256517871,0.030599512663688596,0.5384544466267653,84,124
altA,mag_5001-10000,0.4280074442350171,0.47489938677653587,-0.046891942541518794,-0.06545366695704188,-0.028143585275606228,2.799908059310917e-07,302,2198
altA,mag_5001-10000_mod6_2,0.4098035244849789,0.48536149101111514,-0.07555796652613622,-0.10306544263619669,-0.04835982164070912,9.354316908712506e-08,152,681
altA,mag_5001-10000_mod6_4,0.4464540829150556,0.47643386033703106,-0.02997977742197544,-0.05862487240961008,-0.002135500242884117,0.010957549796424737,150,684
altA,mag_5001-10000_mod12_2,0.4098035244849789,0.4468541088315266,-0.03705058434654768,-0.06916897276444672,-0.004628060502605047,0.03632507777233575,152,265
altA,mag_5001-10000_mod12_10,0.4464540829150556,0.4405670388546068,0.0058870440604488206,-0.026245775632487575,0.037965535033389876,0.7300870622551134,150,267
altA,mag_5001-10000_mod30_2,0.3915365790565512,0.48672706501056023,-0.09519048595400903,-0.1494002750783895,-0.041903242383255976,0.0009765428795046145,37,130
altA,mag_5001-10000_mod30_4,0.46219213332085146,0.4836554401843512,-0.02146330686349973,-0.07650120641901775,0.028568147370088868,0.2406227678603341,36,131
altA,mag_5001-10000_mod30_8,0.37147574922110077,0.4952919869428656,-0.12381623772176481,-0.18349701116833844,-0.06578040883857679,5.423153566716072e-05,36,131
altA,mag_5001-10000_mod30_14,0.43622916779160903,0.48188458451082916,-0.04565541671922013,-0.1014856144872704,0.01038607588580792,0.09120045453758299,39,127
altA,mag_5001-10000_mod30_16,0.4135792880053079,0.475828155219226,-0.06224886721391809,-0.12492957903864066,0.0006960475417401329,0.02621577957334545,37,129
altA,mag_5001-10000_mod30_22,0.49617972552445794,0.47120111063072845,0.02497861489372949,-0.02958740042940128,0.07734940067533558,0.5291074740166775,37,130
altA,mag_5001-10000_mod30_26,0.43543044451980056,0.49495428788564194,-0.05952384336584138,-0.12026134530020946,-0.003823462640107253,0.03245627648386062,40,127
altA,mag_5001-10000_mod30_28,0.41670280342765886,0.4837545936203138,-0.06705179019265495,-0.12201222303260498,-0.01285492735758121,0.013624377133395467,40,127
altA,mag_10001-20000,0.4015682962548478,0.4680948872061881,-0.06652659095134028,-0.07967700841998286,-0.05361074232464687,5.6585016971069635e-33,560,4440
altA,mag_10001-20000_mod6_2,0.40230958085299084,0.4744999145548706,-0.07219033370187977,-0.09181086811020292,-0.053237788526534,7.592487374396444e-19,281,1386
altA,mag_10001-20000_mod6_4,0.40082169778861776,0.47332525659581787,-0.07250355880720011,-0.09211918105546865,-0.052186971849558256,8.108020440021611e-19,279,1387
altA,mag_10001-20000_mod12_2,0.40230958085299084,0.4099407526807032,-0.007631171827712335,-0.028558919408482347,0.013806480133424021,0.6830711904957526,281,552
altA,mag_10001-20000_mod12_10,0.40082169778861776,0.40678500076924956,-0.005963302980631802,-0.027703883327343883,0.01523846054215101,0.6688257920183143,279,554
altA,mag_10001-20000_mod30_2,0.39832263880947416,0.46344668863529054,-0.06512404982581638,-0.1037193477885478,-0.02701525466937269,7.00767473066423e-05,72,261
altA,mag_10001-20000_mod30_4,0.3932145573531746,0.4651453496538035,-0.07193079230062888,-0.11445138951118901,-0.029763734769271834,4.249602088467127e-05,68,265
altA,mag_10001-20000_mod30_8,0.4189990242068696,0.4823004217867571,-0.06330139757988751,-0.10448967492908147,-0.02293936117422239,3.287860704397749e-05,71,262
altA,mag_10001-20000_mod30_14,0.40128368535297426,0.4775332153908459,-0.07624953003787166,-0.11542527519129518,-0.036248541794965894,4.310369604596629e-06,71,263
altA,mag_10001-20000_mod30_16,0.42500040478677986,0.46971490485633843,-0.04471450006955857,-0.08046890081959983,-0.00928030422928769,0.0006683611760154079,71,263
altA,mag_10001-20000_mod30_22,0.376243700397465,0.4837961565369635,-0.10755245613949849,-0.1499499154116304,-0.06595959724054129,1.2450723070993154e-08,71,262
altA,mag_10001-20000_mod30_26,0.38999537084566266,0.48340607205571945,-0.09341070121005679,-0.13561217489534644,-0.05112574570283597,4.791284190528723e-07,67,266
altA,mag_10001-20000_mod30_28,0.4087294538395232,0.4830988507412032,-0.07436939690167998,-0.11515877287268986,-0.032203180802835185,2.6987159396713236e-06,69,264
altB,mag_4-100,0.5232449857435544,0.527619600969168,-0.004374615225613665,-0.07791820482942172,0.07331254708004052,0.8621957127400145,15,34
altB,mag_101-500,0.3204357185592194,0.3378532001250653,-0.017417481565845938,-0.03286648991682982,-0.0012185803644845698,0.05706739916159184,38,162
altB,mag_101-500_mod6_2,0.3281920338920081,0.33822573062321265,-0.010033696731204578,-0.037929748099963606,0.01756203168945201,0.8130575838711293,19,48
altB,mag_101-500_mod6_4,0.3126794032264307,0.33954931549764206,-0.026869912271211382,-0.04783975829680958,-0.006130342613276129,0.024784901878837497,19,47
altB,mag_501-1000,0.3183047055196491,0.3286019960916704,-0.010297290572021278,-0.023878832147696257,0.002926104020062915,0.136789022444684,42,208
altB,mag_501-1000_mod6_2,0.305294695931605,0.3298802828483356,-0.024585586916730573,-0.045863854843248834,-0.004247317946064851,0.041972865787999324,20,63
altB,mag_501-1000_mod6_4,0.33013198696332563,0.3254281278008776,0.004703859162448032,-0.011287475848331887,0.0210301007483003,0.7835526242245716,22,62
altB,mag_1001-2500,0.3262989020940219,0.3383447429913279,-0.012045840897305982,-0.01935685427454438,-0.004637005335744473,0.008099011794457978,109,641
altB,mag_1001-2500_mod6_2,0.3301500537023421,0.3390221120382912,-0.008872058335949118,-0.021352562441989825,0.003113578892426016,0.27651612879705245,54,196
altB,mag_1001-2500_mod6_4,0.3225177714240348,0.3353447228385255,-0.012826951414490695,-0.022570938757017513,-0.003551257358995183,0.05107228742498749,55,195
altB,mag_1001-2500_mod12_2,0.3301500537023421,0.3318393963279078,-0.0016893426255657484,-0.015694679082026753,0.012465858882280563,0.9344587559653987,54,71
altB,mag_1001-2500_mod12_10,0.3225177714240348,0.32711074660631057,-0.004592975182275749,-0.015794409948831176,0.006589024791175656,0.6277239808592467,55,70
altB,mag_2501-5000,0.34372862328890114,0.3420814631041692,0.0016471601847319328,-0.005686494975995651,0.009144427351943634,0.9417578635357999,163,1087
altB,mag_2501-5000_mod6_2,0.345863843943267,0.3396989984005479,0.006164845542719122,-0.003458324955660036,0.016775835706107533,0.30931161322825396,79,338
altB,mag_2501-5000_mod6_4,0.34172049910205693,0.34206172987512273,-0.00034123077306580374,-0.011796372036299784,0.011239205747858649,0.46485294884984085,84,332
altB,mag_2501-5000_mod12_2,0.345863843943267,0.33654852440678273,0.00931531953648429,-0.0033023950888284178,0.021852226914211653,0.12460479215745193,79,129
altB,mag_2501-5000_mod12_10,0.34172049910205693,0.3358407332734809,0.005879765828576022,-0.0068380199965898955,0.019159224867813435,0.4812133537275496,84,124
altB,mag_5001-10000,0.3517540177077075,0.3529485666688004,-0.001194548961092945,-0.007206090214209487,0.004986605163265026,0.9443522799563342,302,2198
altB,mag_5001-10000_mod6_2,0.3496296540533391,0.3544722449612533,-0.004842590907914168,-0.013433693340875373,0.0034903931051026038,0.684869606832593,152,681
altB,mag_5001-10000_mod6_4,0.3539067062108007,0.3521425583669647,0.0017641478438360503,-0.007290005057901616,0.0115114236141328,0.5895441624369022,150,684
altB,mag_5001-10000_mod12_2,0.3496296540533391,0.3623748496614091,-0.01274519560806997,-0.022557229231728974,-0.0026974910204589763,0.03452034986386995,152,265
altB,mag_5001-10000_mod12_10,0.3539067062108007,0.35518687366519136,-0.001280167454390635,-0.011921556886760167,0.009002561640347254,0.7753992430586628,150,267
altB,mag_5001-10000_mod30_2,0.33941382899399225,0.35109386074933824,-0.011680031755345988,-0.02770890479963509,0.0059383446309539,0.24686381859816175,37,130
altB,mag_5001-10000_mod30_4,0.3488880838789096,0.35115327242665056,-0.0022651885477409373,-0.02063980560863281,0.018002561508245085,0.7927840073820132,36,131
altB,mag_5001-10000_mod30_8,0.3523111365803395,0.3580705130203563,-0.0057593764400167835,-0.023833308033845948,0.013246283859712852,0.7407934734985236,36,131
altB,mag_5001-10000_mod30_14,0.34554885509816746,0.35277548354832444,-0.00722662845015698,-0.024107188728044834,0.009365631887794223,0.8549335803807907,39,127
altB,mag_5001-10000_mod30_16,0.3616137544667587,0.3513502623290436,0.010263492137715102,-0.010103911543525074,0.031103629857041508,0.16898207003393995,37,129
altB,mag_5001-10000_mod30_22,0.3568163865865868,0.35155410565365225,0.005262280932934571,-0.01287981733838376,0.024369094542875912,0.47470715269616925,37,130
altB,mag_5001-10000_mod30_26,0.360644736940227,0.35131778654947143,0.00932695039075554,-0.007306528845004517,0.02648331300444861,0.269459194473593,40,127
altB,mag_5001-10000_mod30_28,0.34860299232513936,0.3532176409656014,-0.004614648640462016,-0.02305043452335055,0.014690639334877938,0.2818446071696237,40,127
altB,mag_10001-20000,0.37494883179867633,0.37468664224391024,0.0002621895547660902,-0.005117370928021288,0.00557009233517479,0.9750315809578604,560,4440
altB,mag_10001-20000_mod6_2,0.37303310079234353,0.3743946827945937,-0.0013615820022501723,-0.00853168193428209,0.0059758442349904135,0.7316179494266826,281,1386
altB,mag_10001-20000_mod6_4,0.37687829564376424,0.37546969103303923,0.001408604610725006,-0.00631768966952959,0.009599122958568112,0.8766005222940054,279,1387
altB,mag_10001-20000_mod12_2,0.37303310079234353,0.3764068825167662,-0.003373781724422653,-0.011268309271075498,0.004825552329345853,0.5108184766895201,281,552
altB,mag_10001-20000_mod12_10,0.37687829564376424,0.3780278254464513,-0.001149529802687066,-0.009452721027866444,0.007548988673320703,0.6249973920754895,279,554
altB,mag_10001-20000_mod30_2,0.3767909687607014,0.37430774098310604,0.0024832277775953537,-0.010754479446703871,0.01542054836983856,0.6132912951026679,72,261
altB,mag_10001-20000_mod30_4,0.3788545655977637,0.3716469604563467,0.007207605141416995,-0.008039497379074412,0.022399237213435057,0.36019750951111296,68,265
altB,mag_10001-20000_mod30_8,0.3792780961052458,0.37243162177283357,0.006846474332412256,-0.009508745721593277,0.022590977326056763,0.49940823737133877,71,262
altB,mag_10001-20000_mod30_14,0.3731756869585721,0.37474651640674517,-0.00157082944817305,-0.01758642097403073,0.014464764117608631,0.7537404797847624,71,263
altB,mag_10001-20000_mod30_16,0.37780741393775646,0.3761900248203473,0.0016173891174091626,-0.012835180378902316,0.016757178570782832,0.7463875394597285,71,263
altB,mag_10001-20000_mod30_22,0.3714792152644625,0.3763224190674477,-0.0048432038029851965,-0.02097639510365532,0.011766323626338079,0.5122943048815038,71,262
altB,mag_10001-20000_mod30_26,0.3622258652887605,0.3756254548707638,-0.013399589582003324,-0.02839080045473976,0.0011280558848080927,0.10013986121333496,67,266
altB,mag_10001-20000_mod30_28,0.3795301934870253,0.3754056349946182,0.0041245584924071155,-0.01319533785518565,0.02192760855306779,0.905535228484321,69,264
altC,mag_4-100,0.35370896789389916,0.343373634614323,0.010335333279576142,-0.07708609640109756,0.09705146556276839,0.5799034230744198,15,34
altC,mag_101-500,0.39633948529114366,0.4177090489823725,-0.021369563691228832,-0.07091281629676578,0.022567354482619997,0.8713335891029217,38,162
altC,mag_101-500_mod6_2,0.4120143402134287,0.42605241422203705,-0.014038074008608348,-0.09135433395782276,0.04942436382294804,0.3335717672606576,19,48
altC,mag_101-500_mod6_4,0.38066463036885856,0.4328952337285675,-0.052230603359708916,-0.11287492265715413,0.005085667096815007,0.1925488421276742,19,47
altC,mag_501-1000,0.41276934496247997,0.41350150485758497,-0.0007321598951050001,-0.0458247450992922,0.04080295537854698,0.27192051737791345,42,208
altC,mag_501-1000_mod6_2,0.42621547849881153,0.4140354834189764,0.012179995079835138,-0.04897375727552293,0.07305679174430747,0.32449868207204824,20,63
altC,mag_501-1000_mod6_4,0.4005455872021786,0.4154690727113003,-0.014923485509121703,-0.08193808298428869,0.04861238036365975,0.600220909534696,22,62
altC,mag_1001-2500,0.4160389783113561,0.42015611542561077,-0.004117137114254654,-0.03013351991954055,0.022830857479422362,0.652849806710659,109,641
altC,mag_1001-2500_mod6_2,0.4286661599088281,0.41454578867042896,0.014120371238399154,-0.02278085971146593,0.05105065827576754,0.2415326732730716,54,196
altC,mag_1001-2500_mod6_4,0.4036413818338383,0.4230628338810385,-0.019421452047200194,-0.05792511167895586,0.018308775077780098,0.6898355116800845,55,195
altC,mag_1001-2500_mod12_2,0.4286661599088281,0.39522966565908724,0.03343649424974088,-0.011903639294817175,0.07818778022979443,0.180804560227655,54,71
altC,mag_1001-2500_mod12_10,0.4036413818338383,0.41222790653734936,-0.008586524703511067,-0.05423820431770464,0.036833879049558975,0.8209524863782609,55,70
altC,mag_2501-5000,0.42393965464896227,0.4335479132759556,-0.009608258626993327,-0.02835802578942466,0.009868838946354628,0.3474696822762857,163,1087
altC,mag_2501-5000_mod6_2,0.4197172143085532,0.4300623479872093,-0.010345133678656138,-0.03974722684236844,0.017425513814942343,0.2838476060288535,79,338
altC,mag_2501-5000_mod6_4,0.42791075925482325,0.4395696783454814,-0.011658919090658137,-0.04078849262538417,0.01624592488166887,0.6792598433709274,84,332
altC,mag_2501-5000_mod12_2,0.4197172143085532,0.4156153703397561,0.004101843968797092,-0.031235177683542805,0.03797136084328528,0.7603472224500444,79,129
altC,mag_2501-5000_mod12_10,0.42791075925482325,0.4352354794851208,-0.007324720230297566,-0.03993916065637944,0.025892203367330686,0.7132740455330604,84,124
altC,mag_5001-10000,0.4300998365424026,0.44521280546993547,-0.015112968927532888,-0.03171694538142664,0.001151127052043478,0.6213464583499843,302,2198
altC,mag_5001-10000_mod6_2,0.41059074218540353,0.4519912318270163,-0.04140048964161275,-0.06697529999235922,-0.017226813313139026,0.014248873919592078,152,681
altC,mag_5001-10000_mod6_4,0.4498690521574952,0.44431447815140507,0.005554574006090107,-0.01764748611515997,0.02774470650301128,0.1528418410747636,150,684
altC,mag_5001-10000_mod12_2,0.41059074218540353,0.4497965371523694,-0.03920579496696586,-0.06738872015055836,-0.010940606491196454,0.0156996498447615,152,265
altC,mag_5001-10000_mod12_10,0.4498690521574952,0.43662191746783596,0.013247134689659212,-0.013723701006093365,0.038508832649856446,0.2773571577145928,150,267
altC,mag_5001-10000_mod30_2,0.3885931332219897,0.45393311968268746,-0.06533998646069777,-0.11903865924701366,-0.014076696892896695,0.023566783033990214,37,130
altC,mag_5001-10000_mod30_4,0.454389431657246,0.4442798184354926,0.01010961322175341,-0.03536916865328374,0.05199480312422879,0.37381862595604676,36,131
altC,mag_5001-10000_mod30_8,0.3786728856794803,0.45180592215015314,-0.07313303647067282,-0.12489653241844396,-0.023055515311989933,0.006669989869483933,36,131
altC,mag_5001-10000_mod30_14,0.4405252555785451,0.4472003491326875,-0.0066750935541424194,-0.05310640038450593,0.039493348256467865,0.9559529186711557,39,127
altC,mag_5001-10000_mod30_16,0.4190426190814504,0.44159881140527774,-0.02255619232382733,-0.073872892614835,0.028851017032781662,0.6194136782149073,37,129
altC,mag_5001-10000_mod30_22,0.4918596351678484,0.43542034251779327,0.05643929265005515,0.01592393071203769,0.0943371761512187,0.009339557233881956,37,130
altC,mag_5001-10000_mod30_26,0.4304784507735791,0.45532608806038244,-0.024847637286803337,-0.07547084852716313,0.023094363688982683,0.9491694227365957,40,127
altC,mag_5001-10000_mod30_28,0.4354738719184839,0.4580846485050005,-0.022610776586516612,-0.07173446185632001,0.025707988721233727,0.8292811514884635,40,127
altC,mag_10001-20000,0.44478845437025866,0.45628246459367244,-0.011494010223413786,-0.023515991279318693,-0.00015793799899160851,0.35891183434828466,560,4440
altC,mag_10001-20000_mod6_2,0.4475785221566278,0.4586161958649639,-0.011037673708336082,-0.02785884753963416,0.006263719757596862,0.561668348772066,281,1386
altC,mag_10001-20000_mod6_4,0.44197838609796564,0.45713671294574465,-0.015158326847779013,-0.03339540484338142,0.002267253094447787,0.36169317109691057,279,1387
altC,mag_10001-20000_mod12_2,0.4475785221566278,0.4475784729819077,4.9174720073708045e-08,-0.01873344618724179,0.019047918637551734,0.7911419012728447,281,552
altC,mag_10001-20000_mod12_10,0.44197838609796564,0.44385003469558354,-0.0018716485976179031,-0.02107707302467978,0.018552067094464105,0.9172559801546817,279,554
altC,mag_10001-20000_mod30_2,0.42974027738947174,0.4561352259387141,-0.026394948549242347,-0.06234518586410229,0.008499988998165904,0.22129755982489152,72,261
altC,mag_10001-20000_mod30_4,0.4348774660818478,0.4452837485463674,-0.010406282464519578,-0.04763408025564512,0.024981204634266556,0.853795387271506,68,265
altC,mag_10001-20000_mod30_8,0.46878735257409465,0.45832494979249905,0.010462402781595603,-0.020230539011363548,0.041682346122314896,0.3615533821076382,71,262
altC,mag_10001-20000_mod30_14,0.4617871599135481,0.45538475566051084,0.0064024042530372305,-0.025401732842179527,0.03710211167857306,0.6083136158224722,71,263
altC,mag_10001-20000_mod30_16,0.4681144160664544,0.4567776324731608,0.011336783593293598,-0.023308239979089096,0.044727650791313134,0.09537867264380143,71,263
altC,mag_10001-20000_mod30_22,0.4264760360599935,0.46743552633917046,-0.04095949027917695,-0.07701373679512764,-0.005098914762706935,0.03572726780415644,71,262
altC,mag_10001-20000_mod30_26,0.4292160353335499,0.4601563226770564,-0.030940287343506512,-0.07065269528605597,0.008055301586955353,0.24172005270895947,67,266
altC,mag_10001-20000_mod30_28,0.4380344916925939,0.4575379327620071,-0.019503441069413208,-0.05640318145830771,0.016316391728989528,0.3377894481835959,69,264
