k,phi_emp_mag,phi_the
-3.0,0.0076594651926165285,0.005537830714382473
-2.95,0.007585843958992351,0.0063026103444646505
-2.9,0.008061620994804735,0.007165180356664593
-2.85,0.008741170741259229,0.008136836917190107
-2.8,0.00883301757655493,0.009230000755720622
-2.75,0.010631927134299885,0.010458302831226389
-2.7,0.011699649123140527,0.01183667264304147
-2.65,0.01174521565048691,0.013381428609565505
-2.6,0.012242692548927486,0.01511036980035285
-2.55,0.014088288278383298,0.017042868155143682
-2.5,0.01725134518303272,0.019199960155009535
-2.45,0.02018711687572074,0.021604436725803523
-2.4,0.02367358015321493,0.024280929952290822
-2.35,0.026560135226846276,0.027255994962705633
-2.3,0.031143972994827462,0.030558185108331755
-2.25,0.035102303976100285,0.03421811831166604
-2.2,0.03917231178728704,0.03826853219081148
-2.15,0.04301662539914907,0.04274432528839524
-2.1,0.04724403969893864,0.04768258144244283
-2.05,0.052453682522522256,0.053122574036706366
-2.0,0.05906949962721838,0.059105746561956225
-1.95,0.06641230845149863,0.06567566561132732
-1.9,0.07457084905306437,0.07287794212620845
-1.8499999999999999,0.08303312205625073,0.0807601164092797
-1.7999999999999998,0.09242707373781281,0.08937150213366946
-1.75,0.10218089736106943,0.09876298430797154
-1.7,0.11233293142758309,0.10898676591273054
-1.65,0.12457688955466933,0.12009605771212033
-1.5999999999999999,0.13734041536331432,0.13214470557235186
-1.5499999999999998,0.1515413983997066,0.14518674949337998
-1.5,0.1666021300937561,0.1592759084900214
-1.45,0.18120718245382256,0.17446498544929556
-1.4,0.19709949586301898,0.19080518614805242
-1.3499999999999999,0.21488357370005715,0.2083453467421598
-1.2999999999999998,0.2343338448411776,0.22713106423599214
-1.25,0.25535669972477665,0.24720372470447766
-1.2,0.2769685120193704,0.26859942435874634
-1.15,0.29813800819810704,0.2913477789003542
-1.0999999999999999,0.32147601679730675,0.31547061696465345
-1.0499999999999998,0.346719994824591,0.3409805537585487
-1.0,0.3731317877207076,0.3678794411714424
-0.9499999999999997,0.4016028966077404,0.3961566905601776
-0.8999999999999999,0.4320503961497935,0.4257874638990156
-0.8500000000000001,0.46305362652278514,0.4567307277737219
-0.7999999999999998,0.4943471352423911,0.48892716237508654
-0.75,0.5273987285446748,0.5222969135825414
-0.6999999999999997,0.5615454765419455,0.5567371694381176
-0.6499999999999999,0.5976795230672761,0.5921195312172658
-0.5999999999999996,0.6336782920635536,0.6282871313089984
-0.5499999999999998,0.6697614836577115,0.6650514208093968
-0.5,0.7064894599066298,0.7021885013265595
-0.44999999999999973,0.7440290114923751,0.7394347936679796
-0.3999999999999999,0.7816976039405675,0.7764816931256179
-0.34999999999999964,0.817843111429783,0.8129686001283902
-0.2999999999999998,0.852877693308052,0.8484732107801854
-0.25,0.886623661913625,0.8824969025845953
-0.19999999999999973,0.9172155905422649,0.9144406436072172
-0.1499999999999999,0.9447301526788046,0.9435605406577712
-0.09999999999999964,0.9690852357511315,0.9688719943400756
-0.04999999999999982,0.9890735016346087,0.9888819278383421
0.0,1.0,1.0
0.050000000000000266,0.9890735016346086,0.988881927838342
0.10000000000000009,0.969085235751131,0.9688719943400754
0.15000000000000036,0.9447301526788047,0.943560540657771
0.20000000000000018,0.9172155905422652,0.9144406436072169
0.25,0.886623661913625,0.8824969025845953
0.30000000000000027,0.8528776933080513,0.8484732107801851
0.3500000000000001,0.8178431114297824,0.8129686001283899
0.40000000000000036,0.7816976039405669,0.7764816931256175
0.4500000000000002,0.7440290114923748,0.7394347936679793
0.5,0.7064894599066298,0.7021885013265595
0.5500000000000003,0.6697614836577112,0.6650514208093965
0.6000000000000001,0.6336782920635533,0.628287131308998
0.6500000000000004,0.5976795230672753,0.5921195312172655
0.7000000000000002,0.5615454765419451,0.5567371694381172
0.75,0.5273987285446748,0.5222969135825414
0.8000000000000003,0.49434713524239077,0.4889271623750862
0.8500000000000001,0.46305362652278514,0.4567307277737219
0.9000000000000004,0.4320503961497934,0.42578746389901534
0.9500000000000002,0.40160289660774007,0.3961566905601773
1.0,0.3731317877207076,0.3678794411714424
1.0499999999999998,0.346719994824591,0.3409805537585487
1.1000000000000005,0.32147601679730653,0.31547061696465317
1.1500000000000004,0.2981380081981068,0.291347778900354
1.2000000000000002,0.27696851201937034,0.26859942435874623
1.25,0.25535669972477665,0.24720372470447766
1.2999999999999998,0.2343338448411776,0.22713106423599214
1.3500000000000005,0.21488357370005684,0.20834534674215957
1.4000000000000004,0.19709949586301878,0.19080518614805228
1.4500000000000002,0.18120718245382253,0.17446498544929548
1.5,0.1666021300937561,0.1592759084900214
1.5499999999999998,0.1515413983997066,0.14518674949337998
1.6000000000000005,0.1373404153633142,0.1321447055723517
1.6500000000000004,0.12457688955466925,0.12009605771212023
1.7000000000000002,0.11233293142758304,0.1089867659127305
1.75,0.10218089736106943,0.09876298430797154
1.8000000000000007,0.09242707373781255,0.0893715021336693
1.8500000000000005,0.08303312205625045,0.08076011640927956
1.9000000000000004,0.0745708490530643,0.07287794212620838
1.9500000000000002,0.06641230845149858,0.06567566561132729
2.0,0.05906949962721838,0.059105746561956225
2.0500000000000007,0.05245368252252211,0.053122574036706276
2.1000000000000005,0.04724403969893858,0.047682581442442765
2.1500000000000004,0.04301662539914898,0.0427443252883952
2.2,0.03917231178728704,0.03826853219081148
2.25,0.035102303976100285,0.03421811831166604
2.3000000000000007,0.03114397299482741,0.0305581851083317
2.3500000000000005,0.02656013522684631,0.02725599496270561
2.4000000000000004,0.023673580153214906,0.0242809299522908
2.45,0.02018711687572074,0.021604436725803523
2.5,0.01725134518303272,0.019199960155009535
2.5500000000000007,0.01408828827838325,0.017042868155143633
2.6000000000000005,0.01224269254892754,0.015110369800352824
2.6500000000000004,0.011745215650486926,0.013381428609565493
2.7,0.011699649123140527,0.01183667264304147
2.75,0.010631927134299885,0.010458302831226389
2.8000000000000007,0.008833017576554934,0.009230000755720606
2.8500000000000005,0.00874117074125923,0.008136836917190093
2.9000000000000004,0.008061620994804727,0.007165180356664586
2.95,0.007585843958992351,0.0063026103444646505
3.0,0.0076594651926165285,0.005537830714382473
